"Item_No"
"0012785"
"0007290"
"0013739"
"0011226"
"0007675"
"0015591"
"0006580"
"00003934"
"0009844"
"0008508"
"0015854"
"0012000"
"0005956"
"0007086"
"0016781"
"0011201"
"0008034"
"0009034"
"0014734"
"00005285"
"0012849"
"0009059"
"0010244"
"0015313"
"0016985"
"0009774"
"0015146"
"0006250R"
"0006278"
"0009924"
"0010187"
"0016256"
"0006556"
"0006905"
"0007402"
"0013694"
"0013940"
"00013011"
"0013224"
"0008374"
"0008260"
"0012210"
"0013110"
"0008155"
"0013896R"
"0006925"
"0008680"
"0015872"
"0007867R"
"0014298"
"0016319"
"0013588"
"0007061"
"0010037"
"0009003"
"00010511"
"0010958"
"0007279"
"0007874R"
"0010854"
"0010317"
"0014806"
"0010222"
"0016390"
"0010404"
"0014687"
"0010428"
"00011693"
"0015683"
"0011342"
"0013823"
"0014999"
"0006236"
"0014479"
"0015172"
"0006155R"
"0008222"
"0009365"
"0014020"
"0008017"
"0011060"
"0016416"
"0016969"
"00012826"
"0009355"
"0008093"
"0007592"
"0016655"
"0009389"
"0015875"
"0016351"
"0008419"
"0014385"
"0012267"
"0012761"
"0014807"
"0016877"
"0006145R"
"0008089"
"0007655R"
"0015970"
"0009794"
"0010268"
"0016538"
"0009378R"
"0014259"
"0015448"
"00013465"
"0013215R"
"0007716"
"0016330"
"0010421R"
"0008444"
"0005955"
"0008669"
"0008714"
"0013226"
"0013693"
"0010167"
"0017022"
"00006851"
"0007728"
"0010736"
"0010740"
"0008316"
"0012846"
"0008041"
"0008724"
"0008539"
"0009979"
"0010528"
"0011749"
"0007184"
"00010766"
"0012698"
"0016189"
"0007950"
"0006665"
"0009781"
"0010107"
"0015109"
"0016476"
"0009994"
"0011183"
"00012783"
"00011700"
"00003977"
"0013944"
"00003173"
"0008607"
"00016999"
"0016166"
"0012238"
"0013227"
"0013174"
"0006466"
"0007777"
"00008488"
"0010713"
"0007243"
"0007596"
"0014207"
"0010562"
"0012831"
"0008123"
"0009342"
"0014316"
"0008915"
"00010629"
"0015704"
"0005999"
"0015121"
"0006812"
"0016318"
"0006865"
"0010013"
"0012817"
"0015216"
"0012827"
"0010867"
"00009761"
"0016510"
"0008438"
"0008766"
"0013680"
"00006276"
"0007785"
"0008052"
"0010460"
"0006009"
"0015446"
"0007498"
"0010063"
"0017009"
"0008231"
"0015272"
"0016790"
"0007212"
"0015402"
"0005953"
"0009031"
"0014950"
"0012934"
"0013359"
"0007982"
"00010352"
"0012260"
"0007259"
"00001611R"
"0010798"
"0008117"
"0016564"
"0006296"
"0010096"
"0010184"
"0011545"
"0007372"
"0008480"
"0014814"
"0016810"
"0006291R"
"00010533"
"0016980"
"0012358"
"0014018"
"0007559"
"0009426"
"0007855"
"0014480"
"0015414"
"0016793"
"0008711"
"00011719"
"00013452"
"0007491"
"0009610"
"0015535"
"0017006"
"0006618"
"0016880"
"0006728"
"0008650"
"0005799"
"00003639"
"0009745"
"0009255"
"0015860"
"0009919"
"00010469"
"0006415"
"0007079"
"0007743R"
"0008380"
"0014015"
"0010941"
"00005372"
"0014247"
"0015319"
"0010962"
"0012667"
"00011692"
"0006951R"
"0016663"
"00004971"
"0012906"
"0008090"
"0008227"
"0010691"
"0012162"
"0006266"
"0010859R"
"0006190R"
"0010139"
"0005998"
"0008120"
"0009505"
"00005380"
"0008515"
"0009394"
"0010216"
"0011174"
"0015506"
"0008352"
"0012058"
"0015680"
"00003696"
"0010803"
"0015201"
"0014122"
"0009791"
"0008443"
"0015699"
"0009925"
"0012199"
"0016255"
"0007643"
"0010024"
"0010259"
"0012772"
"0005985"
"0008784"
"0015155"
"0007364"
"0011677"
"0010751"
"0012147"
"0012861"
"0013392"
"0016992"
"0012937"
"00010355"
"00012943"
"0008538"
"0007653"
"0008182"
"00015596"
"0013994"
"0007176"
"0010670"
"0013590"
"0014591"
"00000917"
"0010073"
"0013742"
"0016266"
"0007420"
"0007785R"
"0011213"
"0013650R"
"0015760R"
"0016583"
"0009023"
"0009916"
"0009195"
"0010332"
"00008056"
"0007063R"
"0014353"
"0005831"
"0007889"
"0005987"
"0009227"
"0015735"
"00016249"
"0012065"
"0006205R"
"0006671"
"00013285"
"00015830"
"00005349"
"0007076"
"0014797"
"0016972"
"0008436"
"0008516"
"0015365"
"0005829"
"0008025"
"0007316"
"0010019"
"0006259"
"0007926"
"0009340"
"00013363"
"0010335"
"0008101"
"0016263"
"0013297"
"0009461"
"0015014"
"0016008"
"0016787"
"0016629"
"0016728"
"0013176"
"0007418"
"00002539"
"0016753"
"0012062"
"00003983"
"0010650R"
"0008429"
"0012258"
"0014401"
"00009242"
"0006014"
"00013331"
"0013210"
"0015568"
"0009405"
"0016152"
"0010856"
"0010872"
"0006505R"
"0015322"
"0007732"
"0007171"
"0011312"
"0016881"
"0009865"
"0013276"
"0007461"
"0011625"
"0016688"
"00013376"
"00005387"
"0009028"
"0014577"
"0015211"
"0006822"
"00003180"
"0011340"
"0016456"
"0011003"
"00016489"
"0010239"
"0016952"
"0014246"
"0007472"
"0007584R"
"0010690"
"0010010"
"0015870"
"0015466"
"0016150"
"0010431"
"0012706"
"0006215"
"0006960"
"0013242"
"00003584"
"0011218"
"0012960"
"0009204"
"0010076"
"0015143"
"0006783"
"0008717"
"0016875"
"00010763"
"0009698"
"0010529"
"0013583"
"0005756R"
"0014721"
"0010061"
"0006795"
"0009006"
"0016158"
"0012068"
"00008256"
"0007953"
"0009450"
"0014793"
"0015688"
"0010424"
"0011152"
"00010351"
"0016220"
"0013212"
"00002812"
"00016547"
"0012775"
"0016991"
"0015150"
"0007260"
"0007623"
"00008541"
"0007085"
"00009233"
"0010845"
"0012290"
"0012786"
"0014823"
"0007361"
"0008535"
"0009477"
"0009813"
"00012944"
"00003727"
"0008688"
"0007809"
"0009684"
"00004182"
"0007570"
"0015149"
"0016098"
"0008424"
"0008815"
"0009013"
"0010801"
"0014429"
"0006898"
"0008201"
"0008377"
"0009609"
"0012592"
"0017017"
"00012733"
"0007948"
"0007665"
"0010711"
"0013912"
"0012213"
"0010142"
"0006015"
"0010164"
"0011893"
"0016800"
"0008685"
"0013894"
"0015760"
"0007004"
"0007167"
"00003523"
"0008668"
"0009328"
"0012024"
"00013373"
"0010653R"
"0016685"
"0008106"
"00005026"
"0006440"
"0007884"
"0011207"
"0010046"
"00010347"
"00016315"
"00012078"
"0010517"
"0008003"
"00010481"
"0011186"
"00004061"
"0009117"
"0011305"
"0012048"
"0015182"
"0014574"
"0010263"
"0012608"
"0015113"
"0008675"
"0013956"
"0014724"
"0011811R"
"0013611"
"0010330"
"0008086"
"0009984"
"0016155"
"0011150"
"0016264"
"0007658"
"0012312"
"0006721"
"0008014"
"0013328"
"0015867"
"0008618"
"0016327R"
"0007017"
"00013369"
"00016668"
"0009472"
"0008676"
"0006639"
"0006174"
"00003785"
"0010191"
"0013878"
"0007890"
"0006156"
"0013896"
"0012360"
"0013412"
"0007806"
"0016052"
"0013020"
"0014456"
"00004063"
"0011143"
"0006195R"
"0010693"
"0007153"
"00012222"
"00013316"
"0012883"
"0016329"
"0010622"
"0009268"
"0006641"
"0006796"
"0011485"
"0015126"
"0008126"
"0009171"
"00011435"
"0010904"
"0005996"
"0009066R"
"0015284"
"0010837"
"00010501"
"0012756"
"0007687"
"0008074"
"0009303"
"0009868"
